이름,업로드된 날짜,업로드 후 수정된 날짜,스냅샷 기준일,URL,스크랩,대상,체크박스,채널,소유자,정보 유형
"따뜻한 지도, 몰입되는 요가 수련",2024년 11월 26일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20241126.pdf,아가르 스튜디오,No,네이버 플레이스,envy5555,리뷰
"호흡 맞춘 속도 조절, 명상같은 수련",2024년 12월 17일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20241217.pdf,아가르 스튜디오,No,네이버 플레이스,비아플래닛,리뷰
"맞춤 케어로 허리통증·자세 개선, 꾸준히 다닐 곳",2024년 12월 28일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20241228.pdf,아가르 스튜디오,No,네이버 플레이스,비카81,리뷰
"5번째 방문, 통증 줄고 몸이 깨어난 수련",2025년 2월 5일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250205.pdf,빅블루 요가,No,네이버 플레이스,mintmint,리뷰
"친절한 맞춤 자세교정, 건강해져요",2025년 2월 16일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250216.pdf,빅블루 요가,No,네이버 플레이스,아웅주희,리뷰
"친절한 맞춤 케어, 자세 꼼꼼한 수업",2025년 2월 18일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250218.pdf,빅블루 요가,No,네이버 플레이스,Miela51,리뷰
"차분한 설명·교정, 2번째 방문 만족",2025년 2월 24일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250224.pdf,빅블루 요가,No,네이버 플레이스,jaehwa1209,리뷰
몸 긴장 풀리고 유연성 늘어난 요가,2025년 2월 25일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250225.pdf,빅블루 요가,No,네이버 플레이스,mio****,리뷰
"4번째 방문, 맞춤 케어로 몸·마음 가벼워짐",2025년 2월 27일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250227.pdf,빅블루 요가,No,네이버 플레이스,eze****,리뷰
영혼의 사랑방 같은 따뜻한 요가 수련,2025년 3월 9일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250309.pdf,빅블루 요가,No,네이버 플레이스,mintmint,리뷰
맞춤 케어로 개운해지는 요가 수련,2025년 4월 5일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250405.pdf,빅블루 요가,No,네이버 플레이스,ones,리뷰
어깨·허리 불편 개선한 맞춤 요가,2025년 7월 24일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250724.pdf,빅블루 요가,No,네이버 플레이스,zzun2zz,리뷰
1년 수련으로 골반 정렬·통증 완화,2025년 7월 27일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250727.pdf,빅블루 요가,No,네이버 플레이스,envy5555,리뷰
섬세한 맞춤 정렬로 통증 완화,2025년 7월 28일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250728.pdf,빅블루 요가,No,네이버 플레이스,JH6451,리뷰
첫 방문에도 꼼꼼히 봐주는 맞춤 요가,2025년 7월 30일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250730_(1).pdf,빅블루 요가,No,네이버 플레이스,고래밥58,리뷰
근육 풀리고 집중력도 좋아진 요가,2025년 7월 30일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250730_(2).pdf,빅블루 요가,No,네이버 플레이스,ghhhhhhh1,리뷰
"허리디스크도 안심, 맞춤 요가 케어",2025년 7월 30일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20250730_(3).pdf,빅블루 요가,No,네이버 플레이스,jhn****,리뷰
자세 펴지고 어깨 풀린 체계적 수련(2번째 방문),2025년 10월 31일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20251031.pdf,빅블루 요가,No,네이버 플레이스,숨은맛집찾기전문가,리뷰
첫 방문에도 힐링되는 친절한 요가 수업,2025년 12월 3일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20251203.pdf,빅블루 요가,No,네이버 플레이스,꾸바로우,리뷰
맞춤 케어로 자세 교정 도움된 요가,2026년 2월 20일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260220.pdf,빅블루 요가,No,네이버 플레이스,ButterPark,리뷰
"8번째 방문, 친절하고 꼼꼼한 수업",2026년 3월 10일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260310.pdf,빅블루 요가,No,네이버 플레이스,JH6451,리뷰
"3번째 방문, 호흡·자세 꼼꼼 지도",2026년 3월 16일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260316.pdf,빅블루 요가,No,네이버 플레이스,jaehwa1209,리뷰
다치지 않는 정렬로 꾸준히 성장한 요가 수련,2026년 4월 8일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260408.pdf,빅블루 요가,No,네이버 플레이스,검9888,리뷰
"원데이 후 개운, 디테일한 자세 교정",2026년 4월 15일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260415.pdf,빅블루 요가,No,네이버 플레이스,volarhasta,리뷰
시원하고 맞춤 케어 좋은 요가 수업,2026년 4월 16일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260416_(1).pdf,빅블루 요가,No,네이버 플레이스,edj****,리뷰
마사지처럼 개운한 맞춤 케어 요가,2026년 4월 16일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260416_(2).pdf,빅블루 요가,No,네이버 플레이스,paul9701,리뷰
"1일권도 빡센 운동, 원장님 자세한 지도",2026년 4월 18일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20260418.pdf,빅블루 요가,No,네이버 플레이스,별명51,리뷰
"맞춤 지도에 긴 수련, 합리적 가격",2023년 7월 29일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230729.pdf,아가르 스튜디오,No,네이버 플레이스,dlq****,리뷰
무리 없이 몸 열고 호흡 길어지는 수업,2023년 7월 31일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230731.pdf,아가르 스튜디오,No,네이버 플레이스,쏘삐2,리뷰
"본격적 낮 수련반, 보람·개운함",2023년 8월 12일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230812.pdf,아가르 스튜디오,No,네이버 플레이스,김플피스,리뷰
"원리·자세 꼼꼼 지도, 맞춤 정통요가",2023년 8월 24일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230824.pdf,아가르 스튜디오,No,네이버 플레이스,lesmots,리뷰
"원데이 저녁수련, 맞춤 지도 만족",2023년 9월 12일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230912.pdf,아가르 스튜디오,No,네이버 플레이스,senee,리뷰
"3번째 방문, 동작 꼼꼼히 잡아주는 아침 수련반",2023년 9월 18일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230918_(1).pdf,아가르 스튜디오,No,네이버 플레이스,신현지96,리뷰
"초보도 추천, 맞춤지도 좋은 전통요가",2023년 7월 30일,,2026년 5월 7일 오후 9:54 (GMT+9),"https://map.naver.com/p/entry/place/1640628058?c=14.70,0,0,0,dh&placePath=/review?additionalHeight=76&from=map&fromPanelNum=1&locale=ko&svcName=map_pcv5&timestamp=202605072149&reviewSort=recent&photoUsed=true&additionalHeight=76",%EB%84%A4%EC%9D%B4%EB%B2%84_20230730.pdf,아가르 스튜디오,No,네이버 플레이스,트레이33,리뷰
"후굴 정렬 수업 만족, 금요일도 기대",2026년 5월 6일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260506_(5).pdf,빅블루 요가,No,오붓,d******,리뷰
"조용한 분위기, 두통 완화된 호흡 요가",2026년 4월 21일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260422.pdf,빅블루 요가,No,오붓,b*********,리뷰
"연희요가위크 첫 방문, 힘들지만 개운한 수업",2026년 4월 27일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260427.pdf,빅블루 요가,No,오붓,m********,리뷰
"깔끔한 시설, 티칭도 훌륭해 재방문 의사",2026년 4월 24일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260424_(1).pdf,빅블루 요가,No,오붓,m*******,리뷰
디테일한 설명으로 편해진 요가 수업,2026년 4월 20일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260420.pdf,빅블루 요가,No,오붓,g*******,리뷰
"견갑골 집중 정렬 수련, 시원한 깨달음",2026년 5월 2일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260502_(1).pdf,빅블루 요가,No,오붓,c********,리뷰
"감성 공간, 등근육 자극 핸즈온 만족",2026년 5월 6일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260506_(2).pdf,빅블루 요가,No,오붓,g********,리뷰
호흡·척추 정렬 배우는 만족 수업,2026년 5월 6일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260506_(4).pdf,빅블루 요가,No,오붓,d******,리뷰
자세 교정·지압으로 힐링된 호흡 수업,2026년 4월 21일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260421.pdf,빅블루 요가,No,오붓,k******,리뷰
"견갑골 집중 인텐시브, 배움 많은 요가위크 수업",2026년 5월 2일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260502_(3).pdf,빅블루 요가,No,오붓,c********,리뷰
몸 쓰는 법 안내로 하체가 가벼운 정렬 요가,2026년 4월 24일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260424_(2).pdf,빅블루 요가,No,오붓,c********,리뷰
몸 정렬에 집중한 정렬 에센스 수업,2026년 4월 25일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260425.pdf,빅블루 요가,No,오붓,m********,리뷰
고관절 정렬 이론+실습 인텐시브,2026년 5월 3일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260503.pdf,빅블루 요가,No,오붓,c********,리뷰
사바사나 후 골반이 편안한 호흡 리커버리,2026년 5월 2일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260502_(2).pdf,빅블루 요가,No,오붓,c********,리뷰
"호흡 리커버리, 설명 완벽한 수업",2026년 5월 6일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260506_(3).pdf,빅블루 요가,No,오붓,g******,리뷰
관절 하나하나 느끼는 바디카빙 첫 수련,2026년 5월 1일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260501.pdf,빅블루 요가,No,오붓,d*******,리뷰
후굴 정렬을 세심히 잡아주는 요가 수업,2026년 5월 6일,,2026년 5월 7일 오후 5:43 (GMT+9),https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260506_(1).pdf,빅블루 요가,No,오붓,h*********,리뷰
관절 사용까지 세심한 저녁 요가 수업 후기,2026년 5월 5일,,2026년 5월 7일 오후 4:52 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20260505.pdf,빅블루 요가,No,오붓,h************,리뷰
핸즈온으로 불균형 잡는 독창적 요가,2026년 3월 15일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20260315.pdf,빅블루 요가,No,오붓,k*******,리뷰
소수정예로 자세 봐주는 오전 요가 수업,2025년 11월 27일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20251127.pdf,빅블루 요가,No,오붓,b*********,리뷰
열정 강사 덕에 끝까지 버틴 알찬 요가,2025년 11월 6일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20251106.pdf,빅블루 요가,No,오붓,v*******,리뷰
체형 교정에 집중한 자세한 요가 수련,2025년 10월 31일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20251031.pdf,빅블루 요가,No,오붓,d**************,리뷰
"무리 없는 동작, 친절한 요가 수업",2025년 10월 19일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20251019.pdf,빅블루 요가,No,오붓,k************,리뷰
추석연휴 요가 후 어깨가 개운했다,2025년 10월 12일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20251012.pdf,빅블루 요가,No,오붓,l**********,리뷰
차분한 분위기에서 호흡하며 몸을 푸는 요가,2025년 8월 22일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20250822.pdf,빅블루 요가,No,오붓,s******,리뷰
"섬세한 자세 교정, 이론 설명까지 좋은 수업",2025년 7월 13일,,2026년 4월 17일 오후 8:22 (GMT+9),https://www.obud.co/place/bigblue-yoga?tab=review,%EC%98%A4%EB%B6%93_20250713.pdf,빅블루 요가,No,오붓,d****,리뷰
